# from http://behindthename.com, used with permission
ABENA, f
KGOSI, m
KHAMISI, m
KIBWE, m
KIRABO, m
KOBINA, m
KOFI, m
KOJO, m
KUNTO, f
KWABENA, m
KWADWO, m
KWAKU, m
KWAME, m
KWASI, m
KWEKU, m
KWESI, m
LANRE, m
LEKAN, m
LERATO, f
LESEDI, f
LINDIWE, f
LUMUSI, f
LUNGILE, f
MAKENA, f
MAMADOU, m
MANYARA, f
MARJANI, f
MASAMBA, m
MASEGO, f
MASOZI, m
MBALI, f
MCHUMBA, f
MEKLIT, f
MELISIZWE, m
MIREMBE, f
MOJISOLA, f
MONIFA, f
MOSI, m
MUDIWA, f
MUNASHE, m
MWANAJUMA, f
MWENYE, m
NAKATO, f
NDIDI, m
NEO, f
NGOZI, f
NIA, f
NKECHI, f
NKECHINYERE, f
NKEMDILIM, m
NKIRU, f
NKIRUKA, f
NKOSANA, m
NKOSAZANA, f
NKRUMA, m
NNAMDI, m
NNEKA, f
NNENNA, f
NNENNE, f
NOMUSA, f
NONTLE, f
NOSIPHO, f
NOSIZWE, f
NSIA, m
NSONOWA, m
NTHANDA, m
NTOMBI, f
NURU, f
NWANNEKA, f
NYAH, f
NYARAI, f
OBI, m
OCHIENG, m
ODHIAMBO, m
OGECHI, f
OGECHUKWUKAMA, f
OLABODE, m
OLAMIDE, f
OLAMILEKAN, m
OLANREWAJU, m
OLAYINKA, f
OLUBUNMI, f
OLUCHI, m
OLUFEMI, m
OLUFUNKE, m
OLUFUNMILAYO, f
OLUFUNMILOLA, f
OLUJIMI, m
OLUKAYODE, m
OLUMIDE, m
OLUWAFUNMILAYO, f
OLUWAKANYINSOLA, m
OLUWASEGUN, m
OLUWASEUN, m
OLUWASEYI, f
OLUWATOYIN, m
OLUWAYEMISI, f
OMOBOLANLE, f
OMOLARA, f
ONI, f
ONYEKA, f
ONYEKACHI, f
ONYEKACHUKWU, m
OPEYEMI, m
OTIENO, m
PAKI, m
REFILWE, m
RUDO, m
RUFARO, f
RUMBIDZAI, f
RUTENDO, f
SANAA, f
SAUDA, f
SEBLE, f
SEFU, m
SEKAI, f
SETHUNYA, f
SIBONAKALISO, f
SIMBA, m
SIMISOLA, f
SIPHO, m
SITHEMBILE, f
SIZWE, m
SSANYU, f
SUBIRA, f
TAFADZWA, m
TAFARI, m
TAJEDDIGT, f
TAMRAT, m
TAONGA, f
TAPIWA, f
TARIRO, f
TATENDA, m
TAU, m
TEMITOPE, f
TENDAI, m
TENDAJI, m
TEWODROS, m
THABO, m
THANDIWE, f
THEMA, f
THEMBA, m
THULANI, m
THULILE, f
TICHAONA, m
TINASHE, m
TITILAYO, f
TITRIT, f
TSHOLOFELO, f
TUMELO, m
UDO, f
UDUAK, m
UNATHI, m
UZOCHI, m
UZOMA, m
WASSWA, m
WEKESA, m
WERKNESH, f
WORKNESH, f
XOLANI, m
YAA, f
YAW, m
YEJIDE, f
YEWANDE, f
ZEPHANIA, m
ZOLA, f
ZUBERI, m
ZURI, f
